Arch,Index,Scenario,Lookback,Split,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_mean,MAPE_std,R2_mean,R2_std,MedAE_mean,MedAE_std,n_seeds,MAE_ci95,RMSE_ci95,MAPE_ci95,R2_ci95,MedAE_ci95
BiLSTM,EUROSTOXX50,A,3,test,33.32191970585528,0.3389539519704832,45.42981783999021,0.40953406148337496,0.7309742481214705,0.007027791323306702,0.9931597856476142,0.00012420826831395897,24.791845703125,0.7618113769553019,10,0.24247305035412528,0.2929630191195857,0.005027379056972384,8.885324251924325e-05,0.5449670295654617
BiLSTM,EUROSTOXX50,A,3,val,35.73230512323654,0.2287539867117664,49.662454752973915,0.16533218927603835,0.9149232558179181,0.0060830994597017175,0.9595485601793714,0.0002693907887334269,26.87099609375,0.43142914729038323,10,0.16364074416662705,0.1182715233807854,0.004351587208311564,0.00019271056113010285,0.30862581995883637
BiLSTM,EUROSTOXX50,B,20,test,34.13977334084364,0.2028201998201375,46.72599551283346,0.2250665504210743,0.707192288893532,0.004029909605880742,0.9868252395310384,0.0001268805607722244,25.7390380859375,0.5790831550244344,10,0.14508883061527042,0.16100291115068843,0.0028828236670755385,9.076488538408399e-05,0.41425113408824565
BiLSTM,EUROSTOXX50,B,20,val,40.413573701137366,0.3083478307094805,55.05221169898588,0.24157369100504253,1.0728612910116588,0.008076147322483868,0.9564683011713175,0.00038133885522007624,30.55595703125,0.8565016890959061,10,0.22057875014455045,0.1728114081655505,0.005777327760918076,0.0002727933836033693,0.6127043982854345
BiLSTM,EUROSTOXX50,C,20,test,35.99676513671875,0.6146467695318533,49.35834494643039,1.0306289447213213,0.7455932550266036,0.012459622180838808,0.985293541764908,0.0006169189169533809,27.9904052734375,0.8371083668449416,10,0.43969181132803487,0.7372675331178723,0.008913076773068544,0.0004413172076774482,0.5988312512831497
BiLSTM,EUROSTOXX50,C,20,val,42.283535518578844,0.23907631695722725,56.32544798289062,0.4133644733591838,1.1247668771565908,0.006751048862612318,0.9544300127195422,0.0006678445137735499,32.5887451171875,1.4188925434360644,10,0.1710248943936098,0.2957031307077253,0.00482940942653445,0.00047774718505433394,1.0150145798023493
BiLSTM,NIKKEI225,A,10,test,328.96079220655486,6.228171856139004,480.08457332297655,6.089056512787745,0.9515695989471581,0.017034586900457706,0.9899273501661691,0.00025620390522620914,244.0978515625,6.92009707949341,10,4.455365748971254,4.355848627375992,0.01218580937990093,0.00018327723294475086,4.9503392359253535
BiLSTM,NIKKEI225,A,10,val,274.31305213341346,2.2762695622643982,349.79328724907623,2.3387078914712385,0.9801394364828242,0.00790404900355553,0.9179436804039574,0.0010971777162653335,218.86533203125,6.276885000210764,10,1.628345151256893,1.6730108412533797,0.005654216039963706,0.0007848736564269218,4.490213032995393
BiLSTM,NIKKEI225,B,10,test,334.58845988948167,10.56334755685337,487.9689856672891,10.634192164135706,0.9663969105220224,0.028640489580322004,0.9895908469571086,0.0004623531647839532,250.7724609375,7.078868955055445,10,7.556563625150118,7.607242804221569,0.02048817201217044,0.00033074752943376587,5.063917793585377
BiLSTM,NIKKEI225,B,10,val,274.41598021119506,1.9658615534394845,351.6024602727206,1.5649750972240462,0.9805168478480267,0.0066407271567045355,0.9170945321945224,0.0007376064843719204,207.53837890625,8.286200596133696,10,1.4062926384699013,1.119515743498995,0.004750490032332902,0.0005276518924972339,5.927590820848939
BiLSTM,NIKKEI225,C,20,test,353.442426274897,11.185965498165444,506.088754274801,13.281178341412128,1.019247650585538,0.030910970989380167,0.9887087878396101,0.0006054469559164742,276.98779296875,8.747320645959283,10,8.001957669259953,9.500782646191933,0.022112376568058336,0.00043311066112446784,6.257456232981361
BiLSTM,NIKKEI225,C,20,val,284.2264394641596,2.4583870542610047,363.7954012135925,3.449434552534864,1.016820093127859,0.008393711439197373,0.9080748521868907,0.0017466617483167016,222.68251953125,4.953904670779649,10,1.7586241568579415,2.4675768289106146,0.00600449944490317,0.0012494865440840204,3.543809917850116
BiLSTM,SP500,A,10,test,35.796038134829956,0.2149135892771301,50.97465191948826,0.39567671569929114,0.7419732492948705,0.0036752443429540356,0.996035895407912,6.138607955865801e-05,26.8627197265625,0.32136392130336316,10,0.15373992028013667,0.28305007111427294,0.0026291114219267487,4.391295594383568e-05,0.22988990043985427
BiLSTM,SP500,A,10,val,36.428707486979164,0.19022405340774187,48.87048530521175,0.2586620064369957,0.8590713545555083,0.005066160210610738,0.9678142289159704,0.000340644479397791,27.784521484375,0.3958604401793541,10,0.13607809029032297,0.18503565262150534,0.0036241126935037346,0.0002436823808240126,0.28318149968988515
BiLSTM,SP500,B,2,test,36.17471912687419,0.46200187955114574,51.08260824703702,0.4455263530438912,0.7507220153283194,0.009177534570807704,0.9960183466086422,6.964082681015772e-05,27.691796875,0.6494412213018831,10,0.33049623511650533,0.31871035344974685,0.0065652127351740275,4.981804639738427e-05,0.4645822626918039
BiLSTM,SP500,B,2,val,37.22976890145643,0.25186447914775767,50.159224332479226,0.4457186681490703,0.8826567863675869,0.0065157643896757945,0.9675386977541249,0.0005762064643246155,29.2975341796875,0.752467221535044,10,0.1801729945315047,0.3188479273883626,0.004661097053947481,0.00041219327352973775,0.5382826234549519
BiLSTM,SP500,C,3,test,37.520226030872635,0.3175859099645662,53.50009719917299,0.5797272346720755,0.7798149229285328,0.006794156271022606,0.9956316668203637,9.504390380440354e-05,27.89996337890625,0.6831822255629265,10,0.2271872739377436,0.41471188091219224,0.004860246608840009,6.799031295857154e-05,0.4887191231049233
BiLSTM,SP500,C,3,val,38.48639804380726,0.22285659758768073,51.85514816108863,0.48969177368582206,0.9130354066661323,0.005781781441243654,0.9651761718492455,0.0006565945633852961,28.44012451171875,0.660144179420046,10,0.15942200612941185,0.35030439211183206,0.004136037282908866,0.00046969945535207047,0.4722386976961357
LSTM,EUROSTOXX50,A,2,test,33.53017983430351,0.2661676318683811,45.69787769630955,0.3694548421025327,0.7354811745053905,0.005746310268946777,0.9930926511845435,0.00011245215883678261,25.2474365234375,0.45726172929234676,10,0.1904048536076086,0.2642920727488785,0.004110662734842793,8.044342841719018e-05,0.32710533589345103
LSTM,EUROSTOXX50,A,2,val,35.782614183675555,0.15388558469794913,49.759891429664094,0.28020239861596735,0.9163142417192498,0.0038774297196572096,0.9596119130601538,0.000456513741615631,27.03458251953125,0.5288228302418163,10,0.11008311574573154,0.20044472092442991,0.002773746127441218,0.0003265702577433183,0.3782970636577829
LSTM,EUROSTOXX50,B,20,test,34.31402496233735,0.48271622794370095,46.885399978394034,0.6776955614374868,0.7109729454272922,0.010006761486175792,0.9867329783166623,0.000384070281694945,25.98515625,0.5653562414255858,10,0.3453143872921682,0.48479420003195156,0.007158405935713997,0.000274747328395366,0.4044314916474041
LSTM,EUROSTOXX50,B,20,val,40.67973667320009,0.3910331148402182,55.19612781640478,0.3734968285967931,1.080710065601191,0.010461285352891031,0.956239359761405,0.0005929638235804691,29.3421630859375,1.2245146887010596,10,0.27972823917108175,0.26718353570145925,0.007483552722705268,0.0004241807661995402,0.8759650390464654
LSTM,EUROSTOXX50,C,20,test,36.87596643857988,0.7506765914128357,50.54585788475017,0.6004857003811614,0.7630534482252195,0.014471078506440029,0.9845814746581911,0.0003649688300790362,29.33447265625,1.5492450569310217,10,0.5370016838309595,0.429561592714909,0.010351985946681307,0.0002610829730675235,1.1082631505439053
LSTM,EUROSTOXX50,C,20,val,42.5136798979958,1.0698354400427739,56.79181964299793,0.6900566235228336,1.1298575958720802,0.02803231428756762,0.9536683445733679,0.0011303213558794905,32.3020751953125,1.6488669201222323,10,0.765314170305673,0.493636771160055,0.02005310961644711,0.0008085831879144977,1.1795283383651636
LSTM,NIKKEI225,A,20,test,329.9151887663118,7.395710917231205,481.6416633334321,6.14519442545202,0.9521948310138726,0.020438211162440056,0.9897781427081593,0.000260833608558832,244.9265625,9.709810548962432,10,5.290572879334703,4.396007270888152,0.014620615501099471,0.00018658912319641986,6.945980032038711
LSTM,NIKKEI225,A,20,val,273.14906702418784,1.2440797727378072,347.33908035802915,0.7287824487512954,0.9774471254940306,0.004124541857636525,0.9162096877027098,0.00035144351662635617,216.46669921875,4.985015125419638,10,0.8899610570283949,0.5213395576773326,0.0029505195018982647,0.00025140754668349187,3.566064996425269
LSTM,NIKKEI225,B,10,test,333.8438463329946,5.1704021126729245,486.50081568597716,4.213608699204599,0.9643811021226126,0.01405295790689363,0.9896571118776709,0.0001791548804043491,253.4865234375,6.162339501722891,10,3.6986828580372797,3.014234082108556,0.010052880488259806,0.00012815968093876623,4.408272119602216
LSTM,NIKKEI225,B,10,val,274.44922787173766,1.2985857291875824,352.18076549839896,1.4735278477938625,0.9804860079805076,0.0042228113610167615,0.916821759609116,0.000696122682537804,206.59033203125,5.330515579096702,10,0.9289522693922414,1.0540983220854752,0.0030208172697893617,0.000497976168368547,3.8132211319852614
LSTM,NIKKEI225,C,10,test,351.1091910674966,11.058081394670818,507.86655387043777,10.020628642223723,1.0154402291069395,0.03082253706894155,0.988725514636694,0.0004487896749629502,271.1998046875,12.118026958578785,10,7.910474892658945,7.168325901559303,0.022049114752348945,0.00032104479332100886,8.668714271772213
LSTM,NIKKEI225,C,10,val,290.502389895261,5.292419384117889,369.8155018622707,4.645230818897735,1.0371398488214565,0.01793651240626888,0.9082716652868035,0.0023051616461999755,233.9638671875,9.74999530498685,10,3.785968755815289,3.3229979462083667,0.012831008019169983,0.0016490133030286028,6.974726474776235
LSTM,SP500,A,3,test,35.80140495599095,0.11321888522112539,51.43597900160542,0.2445339307891196,0.7423865069496366,0.0017892185492954387,0.9959625832957126,3.837058723475594e-05,26.89512939453125,0.38351464030933596,10,0.08099191143123326,0.1749290361384715,0.0012799298455609311,2.7448664565210705e-05,0.27434984649291766
